citycode,cityname,cityname_kn,matomeareacode,matomeareaname,matomeareaname_kn,firstareacode,firstareaname,firstareaname_kn,prefcode,prefname,prefname_kn
0241200,おいらせ町,おいらせちょう,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0242300,大間町,おおままち,020020,下北,しもきた,020020,下北,しもきた,020000,青森県,あおもりけん
0242400,東通村,ひがしどおりむら,020020,下北,しもきた,020020,下北,しもきた,020000,青森県,あおもりけん
0242500,風間浦村,かざまうらむら,020020,下北,しもきた,020020,下北,しもきた,020000,青森県,あおもりけん
0242600,佐井村,さいむら,020020,下北,しもきた,020020,下北,しもきた,020000,青森県,あおもりけん
0244100,三戸町,さんのへまち,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0244200,五戸町,ごのへまち,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0244300,田子町,たっこまち,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0244500,南部町,なんぶちょう,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0244600,階上町,はしかみちょう,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0245000,新郷村,しんごうむら,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0320100,盛岡市,もりおかし,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0320200,宮古市,みやこし,030022,宮古地域,みやこちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0320300,大船渡市,おおふなとし,030032,大船渡地域,おおふなとちいき,030030,沿岸南部,えんがんなんぶ,030000,岩手県,いわてけん
0320500,花巻市,はなまきし,030013,花北地域,はなきたちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0320600,北上市,きたかみし,030013,花北地域,はなきたちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0320700,久慈市,くじし,030021,久慈地域,くじちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0320800,遠野市,とおのし,030014,遠野地域,とおのちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0320900,一関市,いちのせきし,030016,両磐地域,りょうばんちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0321000,陸前高田市,りくぜんたかたし,030032,大船渡地域,おおふなとちいき,030030,沿岸南部,えんがんなんぶ,030000,岩手県,いわてけん
0321100,釜石市,かまいしし,030031,釜石地域,かまいしちいき,030030,沿岸南部,えんがんなんぶ,030000,岩手県,いわてけん
0321300,二戸市,にのへし,030012,二戸地域,にのへちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0321400,八幡平市,はちまんたいし,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0321500,奥州市,おうしゅうし,030015,奥州金ケ崎地域,おうしゅうかねがさきちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0321600,滝沢市,たきざわし,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0330100,雫石町,しずくいしちょう,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0330200,葛巻町,くずまきまち,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0330300,岩手町,いわてまち,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0332100,紫波町,しわちょう,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0332200,矢巾町,やはばちょう,030011,盛岡地域,もりおかちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0336600,西和賀町,にしわがまち,030013,花北地域,はなきたちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0338100,金ケ崎町,かねがさきちょう,030015,奥州金ケ崎地域,おうしゅうかねがさきちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0340200,平泉町,ひらいずみちょう,030016,両磐地域,りょうばんちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0344100,住田町,すみたちょう,030032,大船渡地域,おおふなとちいき,030030,沿岸南部,えんがんなんぶ,030000,岩手県,いわてけん
0346100,大槌町,おおつちちょう,030031,釜石地域,かまいしちいき,030030,沿岸南部,えんがんなんぶ,030000,岩手県,いわてけん
0348200,山田町,やまだまち,030022,宮古地域,みやこちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0348300,岩泉町,いわいずみちょう,030022,宮古地域,みやこちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0348400,田野畑村,たのはたむら,030022,宮古地域,みやこちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0348500,普代村,ふだいむら,030021,久慈地域,くじちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0350100,軽米町,かるまいまち,030012,二戸地域,にのへちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0350300,野田村,のだむら,030021,久慈地域,くじちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0350600,九戸村,くのへむら,030012,二戸地域,にのへちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0350700,洋野町,ひろのちょう,030021,久慈地域,くじちいき,030020,沿岸北部,えんがんほくぶ,030000,岩手県,いわてけん
0352400,一戸町,いちのへまち,030012,二戸地域,にのへちいき,030010,内陸,ないりく,030000,岩手県,いわてけん
0410001,仙台市東部,せんだいしとうぶ,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0410002,仙台市西部,せんだいしせいぶ,040021,西部仙台,せいぶせんだい,040020,西部,せいぶ,040000,宮城県,みやぎけん
